,start_time,end_time,anesthetist_id,room_id
0,2023-04-25 07:00:00.000000,2023-04-25 07:15:00.000000,anesthetist - 4,room - 9
1,2023-04-25 07:00:00.000000,2023-04-25 07:30:00.000000,anesthetist - 2,room - 8
2,2023-04-25 07:00:00.000000,2023-04-25 07:30:00.000000,anesthetist - 6,room - 6
3,2023-04-25 07:00:00.000000,2023-04-25 07:30:00.000000,anesthetist - 3,room - 1
4,2023-04-25 07:00:00.000000,2023-04-25 07:45:00.000000,anesthetist - 5,room - 2
5,2023-04-25 07:00:00.000000,2023-04-25 08:00:00.000000,anesthetist - 0,room - 0
6,2023-04-25 07:00:00.000000,2023-04-25 08:45:00.000000,anesthetist - 7,room - 10
7,2023-04-25 07:00:00.000000,2023-04-25 09:45:00.000000,anesthetist - 1,room - 5
8,2023-04-25 07:15:00.000000,2023-04-25 07:30:00.000000,anesthetist - 4,room - 9
9,2023-04-25 07:15:00.000000,2023-04-25 07:30:00.000000,anesthetist - 10,room - 7
10,2023-04-25 07:15:00.000000,2023-04-25 08:00:00.000000,anesthetist - 9,room - 4
11,2023-04-25 07:15:00.000000,2023-04-25 09:30:00.000000,anesthetist - 8,room - 3
12,2023-04-25 07:30:00.000000,2023-04-25 07:45:00.000000,anesthetist - 4,room - 9
13,2023-04-25 07:30:00.000000,2023-04-25 07:45:00.000000,anesthetist - 10,room - 7
14,2023-04-25 07:30:00.000000,2023-04-25 08:15:00.000000,anesthetist - 6,room - 6
15,2023-04-25 07:45:00.000000,2023-04-25 08:30:00.000000,anesthetist - 4,room - 9
16,2023-04-25 07:45:00.000000,2023-04-25 08:45:00.000000,anesthetist - 10,room - 7
17,2023-04-25 07:45:00.000000,2023-04-25 09:00:00.000000,anesthetist - 3,room - 1
18,2023-04-25 07:45:00.000000,2023-04-25 09:30:00.000000,anesthetist - 5,room - 2
19,2023-04-25 08:00:00.000000,2023-04-25 08:15:00.000000,anesthetist - 2,room - 8
20,2023-04-25 08:00:00.000000,2023-04-25 08:45:00.000000,anesthetist - 9,room - 4
21,2023-04-25 08:00:00.000000,2023-04-25 09:00:00.000000,anesthetist - 11,room - 11
22,2023-04-25 08:00:00.000000,2023-04-25 09:45:00.000000,anesthetist - 0,room - 0
23,2023-04-25 08:30:00.000000,2023-04-25 10:30:00.000000,anesthetist - 6,room - 6
24,2023-04-25 08:45:00.000000,2023-04-25 11:30:00.000000,anesthetist - 10,room - 7
25,2023-04-25 09:00:00.000000,2023-04-25 10:45:00.000000,anesthetist - 11,room - 11
26,2023-04-25 09:15:00.000000,2023-04-25 10:30:00.000000,anesthetist - 7,room - 10
27,2023-04-25 09:15:00.000000,2023-04-25 10:30:00.000000,anesthetist - 9,room - 4
28,2023-04-25 09:30:00.000000,2023-04-25 10:30:00.000000,anesthetist - 5,room - 2
29,2023-04-25 09:30:00.000000,2023-04-25 10:45:00.000000,anesthetist - 8,room - 3
30,2023-04-25 09:45:00.000000,2023-04-25 10:30:00.000000,anesthetist - 4,room - 9
31,2023-04-25 09:45:00.000000,2023-04-25 12:00:00.000000,anesthetist - 3,room - 1
32,2023-04-25 10:00:00.000000,2023-04-25 11:00:00.000000,anesthetist - 2,room - 8
33,2023-04-25 10:00:00.000000,2023-04-25 12:45:00.000000,anesthetist - 1,room - 5
34,2023-04-25 10:15:00.000000,2023-04-25 10:45:00.000000,anesthetist - 0,room - 0
35,2023-04-25 10:15:00.000000,2023-04-25 12:15:00.000000,anesthetist - 12,room - 12
36,2023-04-25 10:45:00.000000,2023-04-25 12:00:00.000000,anesthetist - 11,room - 11
37,2023-04-25 10:45:00.000000,2023-04-25 12:30:00.000000,anesthetist - 9,room - 4
38,2023-04-25 11:00:00.000000,2023-04-25 11:15:00.000000,anesthetist - 7,room - 10
39,2023-04-25 11:00:00.000000,2023-04-25 12:15:00.000000,anesthetist - 8,room - 3
40,2023-04-25 11:15:00.000000,2023-04-25 11:30:00.000000,anesthetist - 7,room - 10
41,2023-04-25 11:30:00.000000,2023-04-25 13:45:00.000000,anesthetist - 10,room - 7
42,2023-04-25 11:30:00.000000,2023-04-25 14:15:00.000000,anesthetist - 7,room - 10
43,2023-04-25 11:45:00.000000,2023-04-25 12:15:00.000000,anesthetist - 5,room - 2
44,2023-04-25 11:45:00.000000,2023-04-25 13:15:00.000000,anesthetist - 6,room - 6
45,2023-04-25 11:45:00.000000,2023-04-25 14:15:00.000000,anesthetist - 4,room - 9
46,2023-04-25 11:45:00.000000,2023-04-25 14:15:00.000000,anesthetist - 2,room - 8
47,2023-04-25 12:00:00.000000,2023-04-25 12:15:00.000000,anesthetist - 11,room - 11
48,2023-04-25 12:15:00.000000,2023-04-25 12:30:00.000000,anesthetist - 13,room - 0
49,2023-04-25 12:15:00.000000,2023-04-25 12:45:00.000000,anesthetist - 14,room - 1
50,2023-04-25 12:15:00.000000,2023-04-25 12:45:00.000000,anesthetist - 15,room - 2
51,2023-04-25 12:15:00.000000,2023-04-25 13:00:00.000000,anesthetist - 12,room - 12
52,2023-04-25 12:15:00.000000,2023-04-25 14:45:00.000000,anesthetist - 11,room - 11
53,2023-04-25 12:30:00.000000,2023-04-25 12:45:00.000000,anesthetist - 13,room - 0
54,2023-04-25 12:45:00.000000,2023-04-25 14:30:00.000000,anesthetist - 15,room - 2
55,2023-04-25 13:00:00.000000,2023-04-25 14:00:00.000000,anesthetist - 13,room - 0
56,2023-04-25 13:00:00.000000,2023-04-25 14:45:00.000000,anesthetist - 14,room - 1
57,2023-04-25 13:15:00.000000,2023-04-25 13:45:00.000000,anesthetist - 12,room - 12
